period,value,region,SERC,RFC,WECC,NPCC,MRO,TX
1996,542.568854,MRO,0,0,0,0,0,0
1996,372.82826,NPCC,0,0,0,0,0,0
1996,1276.246963,RFC,0,0,0,0,0,0
1996,1754.431908,SERC,0,0,0,0,0,0
1996,635.695743,TX,0,0,0,0,0,0
1996,863.283768,WECC,0,0,0,0,0,0
1997,540.703793,MRO,0,0,0,0,0,0
1997,387.864796,NPCC,0,0,0,0,0,0
1997,1278.710683,RFC,0,0,0,0,0,0
1997,1786.615916,SERC,0,0,0,0,0,0
1997,649.760705,TX,0,0,0,0,0,0
1997,873.770379,WECC,0,0,0,0,0,0
1998,541.841364,MRO,0,0,0,0,0,0
1998,381.905076,NPCC,0,0,0,0,0,0
1998,1270.342752,RFC,0,0,0,0,0,0
1998,1788.14635,SERC,0,0,0,0,0,0
1998,656.476604,TX,0,0,0,0,0,0
1998,913.477351,WECC,0,0,0,0,0,0
1999,550.639123,MRO,0,0,0,0,0,0
1999,384.227527,NPCC,0,0,0,0,0,0
1999,1289.988318,RFC,0,0,0,0,0,0
1999,1818.208382,SERC,0,0,0,0,0,0
1999,646.856348,TX,0,0,0,0,0,0
1999,926.438527,WECC,0,0,0,0,0,0
2000,568.54216,MRO,0,0,0,0,0,0
2000,395.553406,NPCC,0,0,0,0,0,0
2000,1319.316546,RFC,0,0,0,0,0,0
2000,1888.281414,SERC,0,0,0,0,0,0
2000,673.038576,TX,0,0,0,0,0,0
2000,960.554795,WECC,0,0,0,0,0,0
2001,560.77951,MRO,0,0,0,0,0,0
2001,389.775653,NPCC,0,0,0,0,0,0
2001,1267.971325,RFC,0,0,0,0,0,0
2001,1844.857215,SERC,0,0,0,0,0,0
2001,666.89956,TX,0,0,0,0,0,0
2001,965.728115,WECC,0,0,0,0,0,0
2002,569.192551,MRO,0,0,0,0,0,0
2002,384.807906,NPCC,0,0,0,0,0,0
2002,1295.696709,RFC,0,0,0,0,0,0
2002,1859.561111,SERC,0,0,0,0,0,0
2002,678.252341,TX,0,0,0,0,0,0
2002,944.971814,WECC,0,0,0,0,0,0
2003,578.48963,MRO,0,0,0,0,0,0
2003,403.89681,NPCC,0,0,0,0,0,0
2003,1315.540358,RFC,0,0,0,0,0,0
2003,1883.935019,SERC,0,0,0,0,0,0
2003,671.21972,TX,0,0,0,0,0,0
2003,949.227144,WECC,0,0,0,0,0,0
2004,572.19995,MRO,0,0,0,0,0,0
2004,407.133281,NPCC,0,0,0,0,0,0
2004,1316.867122,RFC,0,0,0,0,0,0
2004,1940.034652,SERC,0,0,0,0,0,0
2004,670.653017,TX,0,0,0,0,0,0
2004,989.803932,WECC,0,0,0,0,0,0
2005,582.500556,MRO,0,0,0,0,0,0
2005,402.13034,NPCC,0,0,0,0,0,0
2005,1333.923678,RFC,0,0,0,0,0,0
2005,1961.153401,SERC,0,0,0,0,0,0
2005,645.021575,TX,0,0,0,0,0,0
2005,995.466353,WECC,0,0,0,0,0,0
2006,574.616733,MRO,0,0,0,0,0,0
2006,369.079528,NPCC,0,0,0,0,0,0
2006,1292.481309,RFC,0,0,0,0,0,0
2006,1955.316086,SERC,0,0,0,0,0,0
2006,648.38216,TX,0,0,0,0,0,0
2006,999.415921,WECC,0,0,0,0,0,0
2007,592.434442,MRO,0,0,0,0,0,0
2007,377.550353,NPCC,0,0,0,0,0,0
2007,1314.631751,RFC,0,0,0,0,0,0
2007,1976.965129,SERC,0,0,0,0,0,0
2007,646.192763,TX,0,0,0,0,0,0
2007,1022.749031,WECC,0,0,0,0,0,0
2008,597.594841,MRO,0,0,0,0,0,0
2008,358.703084,NPCC,0,0,0,0,0,0
2008,1276.710306,RFC,0,0,0,0,0,0
2008,1895.23295,SERC,0,0,0,0,0,0
2008,623.648596,TX,0,0,0,0,0,0
2008,993.304646,WECC,0,0,0,0,0,0
2009,567.484068,MRO,0,0,0,0,0,0
2009,333.262095,NPCC,0,0,0,0,0,0
2009,1146.933684,RFC,0,0,0,0,0,0
2009,1751.52365,SERC,0,0,0,0,0,0
2009,590.457027,TX,0,0,0,0,0,0
2009,949.933111,WECC,0,0,0,0,0,0
2010,577.56765,MRO,0,0,0,0,0,0
2010,345.62527,NPCC,0,0,0,0,0,0
2010,1183.015509,RFC,0,0,0,0,0,0
2010,1863.804994,SERC,0,0,0,0,0,0
2010,615.543957,TX,0,0,0,0,0,0
2010,942.072406,WECC,0,0,0,0,0,0
2011,575.874943,MRO,0,0,0,0,0,0
2011,329.604168,NPCC,0,0,0,0,0,0
2011,1143.895232,RFC,0,0,0,0,0,0
2011,1797.880908,SERC,0,0,0,0,0,0
2011,635.041655,TX,0,0,0,0,0,0
2011,909.892524,WECC,0,0,0,0,0,0
2012,551.712245,MRO,0,0,0,0,0,0
2012,310.940081,NPCC,0,0,0,0,0,0
2012,1076.297908,RFC,0,0,0,0,0,0
2012,1700.033643,SERC,0,0,0,0,0,0
2012,627.109709,TX,0,0,0,0,0,0
2012,907.05055,WECC,0,0,0,0,0,0
2013,573.321725,MRO,0,0,0,0,567.338434,0
2013,316.884172,NPCC,0,0,0,368.0043277,0,0
2013,1114.853078,RFC,0,1261.183016,0,0,0,0
2013,1711.696774,SERC,1200.937582,0,0,0,0,0
2013,657.83018,TX,0,0,0,0,0,691.3158425
2013,932.309429,WECC,0,0,420.7445648,0,0,0
2014,582.150991,MRO,0,0,0,0,567.338434,0
2014,324.156999,NPCC,0,0,0,372.8951507,0,0
2014,1134.634997,RFC,0,1258.738872,0,0,0,0
2014,1743.297972,SERC,1200.937582,0,0,0,0,0
2014,661.990468,TX,0,0,0,0,0,650.0290563
2014,917.55668,WECC,0,0,420.7445648,0,0,0
2015,554.18377,MRO,0,0,0,0,567.338434,0
2015,326.328849,NPCC,0,0,0,372.8951507,0,0
2015,1070.607581,RFC,0,1258.738872,0,0,0,0
2015,1687.967064,SERC,1200.937582,0,0,0,0,0
2015,655.258602,TX,0,0,0,0,0,650.0290563
2015,918.231404,WECC,0,0,420.7445648,0,0,0
2016,537.504243,MRO,0,0,0,0,567.338434,0
2016,313.8092,NPCC,0,0,0,372.8951507,0,0
2016,1037.435701,RFC,0,1258.738872,0,0,0,0
2016,1672.817584,SERC,1200.937582,0,0,0,0,0
2016,656.870947,TX,0,0,0,0,0,650.0290563
2016,908.11908,WECC,0,0,420.7445648,0,0,0
2017,538.175103,MRO,0,0,0,0,567.338434,0
2017,309.096392,NPCC,0,0,0,372.8951507,0,0
2017,1013.544467,RFC,0,1258.738872,0,0,0,0
2017,1648.286562,SERC,1200.937582,0,0,0,0,0
2017,665.085545,TX,0,0,0,0,0,650.0290563
2017,915.317417,WECC,0,0,420.7445648,0,0,0
2018,566.90799,MRO,0,0,0,0,567.338434,0
2018,322.508633,NPCC,0,0,0,372.8951507,0,0
2018,1054.877729,RFC,0,1258.738872,0,0,0,0
2018,1688.010764,SERC,1200.937582,0,0,0,0,0
2018,684.814849,TX,0,0,0,0,0,650.0290563
2018,923.649031,WECC,0,0,420.7445648,0,0,0
2019,539.796633,MRO,0,0,0,0,567.338434,0
2019,313.748486,NPCC,0,0,0,372.8951507,0,0
2019,1010.487086,RFC,0,1258.738872,0,0,0,0
2019,1625.141537,SERC,1200.937582,0,0,0,0,0
2019,683.415249,TX,0,0,0,0,0,650.0290563
2019,932.32789,WECC,0,0,420.7445648,0,0,0
2020,488.951959,MRO,0,0,0,0,567.338434,0
2020,270.678795,NPCC,0,0,0,372.8951507,0,0
2020,893.973878,RFC,0,1258.738872,0,0,0,0
2020,1455.68367,SERC,1200.937582,0,0,0,0,0
2020,624.681653,TX,0,0,0,0,0,650.0290563
2020,809.848033,WECC,0,0,420.7445648,0,0,0
2021,515.249032,MRO,0,0,0,0,567.338434,0
2021,292.651652,NPCC,0,0,0,372.8951507,0,0
2021,967.348211,RFC,0,1258.738872,0,0,0,0
2021,1560.518888,SERC,1200.937582,0,0,0,0,0
2021,663.458165,TX,0,0,0,0,0,650.0290563
2021,855.788992,WECC,0,0,420.7445648,0,0,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
